df_name,class_type,num_features,classifier,avg_accuracy,avg_precision,avg_recall,avg_f1score
df_06_03,multiclass,-13,Naive Bayes,0.38786221873574067,0.45912330110849753,0.38786221873574067,0.3765942178953205
df_06_03,multiclass,-21,Gradient Boosting,0.6714607196437501,0.6649962870000562,0.6714607196437501,0.6591052853716819
df_06_03,multiclass,-21,Nearest Neighbors,0.851160839731792,0.8501709315116821,0.851160839731792,0.8430351360435677
df_06_03,multiclass,-21,Decision Tree,0.5382910417042296,0.5355514274186994,0.5382910417042296,0.5251040318586253
df_06_03,multiclass,-21,Random Forest,0.5573085990522231,0.543506180103271,0.5573085990522231,0.5199596303011679
df_06_03,multiclass,-21,Neural Net,0.6147620861980398,0.6094274751533002,0.6147620861980398,0.6001494244584062
df_06_03,multiclass,-21,AdaBoost,0.5138011437280363,0.5084543008528258,0.5138011437280363,0.5072643829853056
df_06_03,multiclass,-21,Naive Bayes,0.4736150242727529,0.47504600352577764,0.4736150242727529,0.464960595296913
df_06_03,binary,-6,Gradient Boosting,0.5671194702229118,0.5482057594825573,0.5671194702229118,0.5482402223954498
df_06_03,binary,-6,Nearest Neighbors,0.6126341989982357,0.6097936217338255,0.6126341989982357,0.6093820392215686
df_06_03,binary,-6,Decision Tree,0.518324939779437,0.5010203036095463,0.518324939779437,0.5026389172351977
df_06_03,binary,-6,Random Forest,0.5260394192061264,0.5106897408926653,0.5260394192061264,0.5051266448379894
df_06_03,binary,-6,Neural Net,0.5138228382046899,0.44508144724107257,0.5138228382046899,0.46647510868692044
df_06_03,binary,-6,AdaBoost,0.5031279188538156,0.4907296551282891,0.5031279188538156,0.4922596854141136
df_06_03,binary,-6,Naive Bayes,0.45392474887615597,0.42194886306784296,0.45392474887615597,0.4047006516008415
df_06_03,binary,-13,Gradient Boosting,0.5957097517599462,0.584041129541349,0.5957097517599462,0.5796676979916104
df_06_03,binary,-13,Nearest Neighbors,0.765276123243359,0.7591924327702622,0.765276123243359,0.757412484933463
df_06_03,binary,-13,Decision Tree,0.5218127904004535,0.5042802425370534,0.5218127904004535,0.5069279105166251
df_06_03,binary,-13,Random Forest,0.5425394415768358,0.5156790487068117,0.5425394415768358,0.5052416024530264
df_06_03,binary,-13,Neural Net,0.5413789245801249,0.5119838947382529,0.5413789245801249,0.5115720306533268
df_06_03,binary,-13,AdaBoost,0.49729843250708694,0.4805603828725693,0.49729843250708694,0.4828524944887783
df_06_03,binary,-13,Naive Bayes,0.3827462551774591,0.457634759639131,0.3827462551774591,0.36561059582724664
df_06_03,binary,-21,Gradient Boosting,0.6716397445783783,0.6667051862661597,0.6716397445783783,0.6595226091408862
df_06_03,binary,-21,Nearest Neighbors,0.8473385351137086,0.8452516931482869,0.8473385351137086,0.8386607250791631
df_06_03,binary,-21,Decision Tree,0.5624101356927365,0.5509845084583971,0.5624101356927365,0.5471187918237878
df_06_03,binary,-21,Random Forest,0.5633955652962106,0.5459008418970477,0.5633955652962106,0.5269039958595109
df_06_03,binary,-21,Neural Net,0.6141154267624497,0.6098798894173173,0.6141154267624497,0.6011104413582988
df_06_03,binary,-21,AdaBoost,0.5219934182934913,0.5173049652675841,0.5219934182934913,0.5146967260766602
df_06_03,binary,-21,Naive Bayes,0.4714476710364327,0.473323253280293,0.4714476710364327,0.46329877003806397
df_08_04,multiclass,-6,Gradient Boosting,0.5753413628041383,0.5607124853296351,0.5753413628041383,0.5570207378715614
df_08_04,multiclass,-6,Nearest Neighbors,0.6162598081387276,0.6129947781098428,0.6162598081387276,0.612695742883662
df_08_04,multiclass,-6,Decision Tree,0.5209557120445955,0.48864976244994696,0.5209557120445955,0.4969557669288265
df_08_04,multiclass,-6,Random Forest,0.5292561839771313,0.5007653141886419,0.5292561839771313,0.5039841247470705
df_08_04,multiclass,-6,Neural Net,0.5196661048113244,0.4918865418492729,0.5196661048113244,0.48506672404633183
df_08_04,multiclass,-6,AdaBoost,0.4992021135103501,0.4841099956773471,0.4992021135103501,0.48509550731532586
df_08_04,multiclass,-6,Naive Bayes,0.46012358222357175,0.40727610559300675,0.46012358222357175,0.4085856523518842
df_08_04,multiclass,-13,Gradient Boosting,0.6286290322580645,0.6193339041449197,0.6286290322580645,0.613711477820259
df_08_04,multiclass,-13,Nearest Neighbors,0.7848387096774194,0.7798048491238748,0.7848387096774194,0.7768450327979284
df_08_04,multiclass,-13,Decision Tree,0.5533870967741936,0.5276139707875306,0.5533870967741936,0.5320671222310887
df_08_04,multiclass,-13,Random Forest,0.5455645161290323,0.5011194241926653,0.5455645161290323,0.49893754466516127
df_08_04,multiclass,-13,Neural Net,0.5616129032258065,0.5322794483224511,0.5616129032258065,0.5344568609401048
df_08_04,multiclass,-13,AdaBoost,0.522258064516129,0.5059488755102212,0.522258064516129,0.5087244319450367
df_08_04,multiclass,-13,Naive Bayes,0.3955645161290322,0.4565323532930508,0.3955645161290322,0.3732126278821727
df_08_04,multiclass,-21,Gradient Boosting,0.6952415117935627,0.6930713654355012,0.6952415117935627,0.6838169479942879
df_08_04,multiclass,-21,Nearest Neighbors,0.8489449289936631,0.848008254274417,0.8489449289936631,0.8398932420958884
df_08_04,multiclass,-21,Decision Tree,0.5500420300785808,0.5301645722496418,0.5500420300785808,0.529405154638747
df_08_04,multiclass,-21,Random Forest,0.5524492834903014,0.5112533201626509,0.5524492834903014,0.5055377406524545
df_08_04,multiclass,-21,Neural Net,0.6165372888020781,0.6101910705173259,0.6165372888020781,0.6005454493233153
df_08_04,multiclass,-21,AdaBoost,0.5547027919059867,0.5443053059153844,0.5547027919059867,0.5406755481592859
df_08_04,multiclass,-21,Naive Bayes,0.4290133890296337,0.4458090356717125,0.4290133890296337,0.41797797742690773
df_08_04,binary,-6,Gradient Boosting,0.585058772857908,0.5678179644194561,0.585058772857908,0.5660612464794911
df_08_04,binary,-6,Nearest Neighbors,0.617784997917599,0.614943214878215,0.617784997917599,0.6143702097261475
df_08_04,binary,-6,Decision Tree,0.5266913364358089,0.5067409574490398,0.5266913364358089,0.5053036234028021
df_08_04,binary,-6,Random Forest,0.5361763496157258,0.5164596990295514,0.5361763496157258,0.5180744039016625
df_08_04,binary,-6,Neural Net,0.5280573138837944,0.5037855944636597,0.5280573138837944,0.4926516500101232
df_08_04,binary,-6,AdaBoost,0.49967153681193466,0.4871311505930794,0.49967153681193466,0.48906975419683196
df_08_04,binary,-6,Naive Bayes,0.46752042951784006,0.4088689168828149,0.46752042951784006,0.4154936581163747
df_08_04,binary,-13,Gradient Boosting,0.6195588924470827,0.609808438967248,0.6195588924470827,0.6034475349033422
df_08_04,binary,-13,Nearest Neighbors,0.7840548439167903,0.7791495223076489,0.7840548439167903,0.7768854548968667
df_08_04,binary,-13,Decision Tree,0.5223500351480121,0.49854822081084516,0.5223500351480121,0.49925756342022654
df_08_04,binary,-13,Random Forest,0.5373511416595069,0.504060705560626,0.5373511416595069,0.49532198409462486
df_08_04,binary,-13,Neural Net,0.5597819521466324,0.533505552877085,0.5597819521466324,0.5316530721077405
df_08_04,binary,-13,AdaBoost,0.5033882683745998,0.48653951913401255,0.5033882683745998,0.48889517486128786
df_08_04,binary,-13,Naive Bayes,0.3950552604858236,0.46233619791946906,0.3950552604858236,0.37583436275213516
df_08_04,binary,-21,Gradient Boosting,0.6986685863085853,0.6969048902085501,0.6986685863085853,0.6886919581236751
df_08_04,binary,-21,Nearest Neighbors,0.8475284503031997,0.8456917394015644,0.8475284503031997,0.838838648790676
df_08_04,binary,-21,Decision Tree,0.5590352962680256,0.5540835490558467,0.5590352962680256,0.5500761773119259
df_08_04,binary,-21,Random Forest,0.5656159051386248,0.5447579556384942,0.5656159051386248,0.5318577699219287
df_08_04,binary,-21,Neural Net,0.634791364443203,0.6324913704931752,0.634791364443203,0.6243774157257731
df_08_04,binary,-21,AdaBoost,0.5510095497251188,0.5424882302695797,0.5510095497251188,0.539356404300619
df_08_04,binary,-21,Naive Bayes,0.4230842947632906,0.43888044729821807,0.4230842947632906,0.4124195832994034
